Title,Author
Our Sentimental Garden,Agnes Sweetman Castle and Egerton Castle
The Illustration of Books,Joseph Pennell
Other Fools and Their Doings,Anonymous
"the War, 1914-1918",J. Macartney-Filgate
Vol. 2 of 17,Richard F. Burton
The Weirdest World,R. A. Lafferty
Scent Makes a Difference,James Stamers
The Brighton Boys in the Argonne Forest,James R. Driscoll
The Trail of the Elk,Mikkjel Fonhus
Connected Poems,Charles Seabridge
The Auxilia of the Roman Imperial Army,George Leonard Cheesman
Prospector's Special,Robert Sheckley
Death's Wisher,Jim Wannamaker
Valtioviisas kannunvalaja,Ludvig Holberg
A Book of North Wales,Sabine Baring-Gould
Fiue Hundred Pointes of Good Husbandrie,Thomas Tusser
Noorsche Volksvertellingen,Peter Christen Asbjørnsen
Manx Fairy Tales,Sophia Morrison
The Turks and Europe,Gaston Gaillard
Stand Pat,David A. Curtis
Traveling Companion Wanted,Richard Wilson
From An Unseen Censor,Rosel George Brown
Samuel Pepys and the World He Lived In,Henry Benjamin Wheatley
"The History of Chemistry, Vol. 2 of 2",Thomas Thomson
Hawaiian Sea Hunt Mystery,Andy Adams
The Road to En-Dor,Elias Henry Jones
Toen de duisternis dreigde,Alida van der Vlier (ps. A. van Redich
If You Was A Moklin,Murray Leinster
"Oh, Rats!",Miriam Allen deFord
Fairview Boys and Their Rivals,Frederick Gordon
"Torpedo War, and Submarine Explosions",Robert Fulton
Viitta,Nikolai Vasilevich Gogol
My Reminiscences of East Africa,General von Lettow-Vorbeck
The Brownie Scouts in the Circus,Mildred A. Wirt
The Brownie Scouts at Snow Valley,Mildred A. Wirt
Is Spiritualism Based on Fraud?,Joseph McCabe
The Wyandotte convention; an address,John Alexander Martin
Round-and-Round Trip,H. B. Fyfe
Don't Look Now,Leonard Rubin
The Romance of the London Directory,Charles W. Bardsley
Julian Mortimer,Harry Castlemon
Wau-bun,Juliette Augusta Magill Kinzie
Star-Crossed Lover,William W. Stuart
Big Baby,Jack Sharkey
The Topaz Story Book,Various
Bird Life Glimpses,Edmund Selous
The Vision of Dante,Elizabeth Harrison
"Serial No. 106, May 1, 1916",Hamilton W. Mabie
Life of David W. Patten,Lycurgus A. Wilson
Demonien ruhtinatar,Nikolai Vasilevich Gogol
"Constantinople, Vol. 1 of 2",Edmondo de Amicis
Satisfaction Guaranteed,Joy Leache
"Wall of Crystal, Eye of Night",Algis Budrys
Sanguines,Pierre Louÿs
La Esfinge Maragata,Concha Espina
"Harper's Young People, January 3 1882",Various
Die alte Krone,Paul Keller
De carne y hueso; cuentos,Eduardo Zamacois
Dinsmore Ely,Dinsmore Ely
Under The Holly,Henry Fitz Randolph
What I Saw in Kaffir-Land,Stephen Lakeman
Tekla,Robert Barr
Belgians Under the German Eagle,Jean Massart
"Whim, and Its Consequences",George Payne Rainsford James
The Great Experience,Julia Farr
Metamorphosis,Charles V. de Vet
A Trace of Memory,Keith Laumer
El Canto Errante,Rubén Darío
"Thoughts out of Season, Part I",Friedrich Wilhelm Nietzsche
Le nez d'un notaire,Edmond About
Tolstoi for the young,Leo Tolstoi
Third Reader,Various
La vita Italiana nel Rinascimento,Various
Die Komposition des Buches Jes. c. 28-33,Martin Brückner
"Fern Vale, Vol. 2 of 3",Colin Munro
Les révélées,Michel Corday
"A Guide to the Study of Fishes, Vol. 2 of 2",David Starr Jordan
Grandmother,Laura E. Richards
Gift Card Designs,Pedro J. Lemos
The God Next Door,Bill Doede
The Little Man Who Wasn't Quite,William W. Stuart
The Brownie Scouts at Silver Beach,Mildred A. Wirt
"Der Vampyr, oder: Die Todtenbraut, Zweiter Theil",Theodor Hildebrand
"Der Vampyr, oder: Die Todtenbraut, Erster Theil",Theodor Hildebrand
The Brownie Scouts in the Cherry Festival,Mildred A. Wirt
Ann Crosses a Secret Trail,Harriet Pyne Grove
De getemde feeks,William Shakespeare
Elektitaj fabloj de J. de La Fontaine,Jean de La Fontaine
"La Biblia en España, Tomo III (de 3)",George Borrow
The Air of Castor Oil,Jim Harmon
The Spy in the Elevator,Donald E. Westlake
"Marjorie Dean, Post-Graduate",Pauline Lester
Irja,Väinö Kataja
by Herself to Her Family of Chickens,Anonymous
The Imitation of Earth,James Stamers
Amateur in Chancery,George O. Smith
of the Reformation,Harriet Earhart Monroe
including Vol. 2 Index,Various
Unique Ghost Towns and Mountain Spots,Caroline Bancroft
"Serial No. 104, April 1, 1916",John C. van Dyke
Vol. 5 of 10,Various
"Yosemite National Park, California",Anonymous
From Memory's Shrine,Carmen Sylva
Pankinjohtajan tytär,Selma Anttila
Copyright Renewals 1978,Library of Congress
Copyright Renewals: Periodicals: 1951,Library of Congress
01-Mar-16,John K. Mumford
The Lamps of the Angels,Richard Sabia
Dreamworld,R. A. Lafferty
La petite mademoiselle,Robert de Montesquiou-Fézensac
Tippoo Sultaun,Meadows Taylor
Palace and Mosque at Ukhaidir,Gertrude Lowthian Bell
Dawningsburgh,Wallace West
Breakdown,Herbert D. Kastle
Thirty Years Since,George Payne Rainsford James
The Girls' Book of Famous Queens,Lydia Hoyt Farmer
Le droit a la force,Daniel Lesueur
How to Become an Actor,Aaron A. Warford
Charity Case,Jim Harmon
Pick a Crime,Richard R. Smith
The Historical Jesus,John M. Robertson
Gillingwater's History of Lowestoft,Edmund Gillingwater
Wenonah's Stories for Children,Clara Louise Burnham
Conditionally Human,Walter M. Miller
Innocent At Large,Poul Anderson and Karen Anderson
"The Mysteries of London, Vol. 4 of 4",George W. M. Reynolds
Kaupungin lapsi,Selma Anttila
Taloista ja taipaleelta,Karl Henrik Hornborg
The War Book of the German General Staff,J. H. Morgan
The Vicissitudes of Evangeline,Elinor Glyn
Book-plates of To-day,Various
Lucinda,Anthony Hope
The Hermitage,Mary C. Dorris
"A Guide to Natural Bridges National Monument, Utah",Anonymous
Implement sheds,Karl John Theodore Ekblaw
Die Akkumulatoren,Willibald Bermbach
Fifty Years in the Church of Rome,Charles Chiniquy
A Schoolmaster's Diary,Stuart Petre Brodie Mais
Romans et contes,Theophile Gautier
Delaware,George Payne Rainsford James
Delaware,George Payne Rainsford James
Delaware,George Payne Rainsford James
Cuentos y cronicas,Ruben Dario
Reviisori,Nikolai Gogol
Dallo Stelvio al mare,Massimo Bontempelli
Always a Qurono,Jim Harmon
Extracts from the Galactick Almanack,Larry M. Harris
Sinhalese Folklore Notes,Arthur A. Perera
Erya (a dictionary and encyclopedia),Unknown
Absalomin tukka,Bjornstjerne Bjornson
Elainten nahoissa,Matti Aikio
The Sorceress; Vol. 1 of 3,Margaret Oliphant
Sales Talk,Con Blomberg
A Matter of Protocol,Jack Sharkey
Poems of Pleasure,Ella Wheeler Wilcox
Uttalsbeteckning,Fred. Lonnkvist
"Oeuvres de P. Corneille, Tome 07",Pierre Corneille
The Silent Call,Edwin Milton Royle
Solid Solution,James Stamers
A Fall of Glass,Stanley R. Lee
Mystery of the Chinese Ring,Andy Adams
admission of Kansas as a state,John Alexander Martin
de Boufflers,Gaston Maugras
Jamieson,William R. Doede
Opiniones,Ruben Dario
All The People,R. A. Lafferty
Plumfieldin pojat,Louisa M. Alcott
Between the Larch-woods and the Weir,Flora Klickmann
The Border Boys Along the St. Lawrence,Fremont B. Deering
What We Saw At Madame World's Fair,Elizabeth Gordon
01-Jun-16,William Winter
Gourmet,Allen Kim Lang
Aloys,R. A. Lafferty
Stirring Incidents In The Life of a British Soldier,Thomas Faughnan
The Greatest Failure in All History,John Spargo
"Essays Literary, Critical and Historical",Thomas O'Hagan
Poems in Many Lands,Rennell Rodd
Justice de femme,Daniel Lesueur
From Kitchen to Garret,Jane Ellen Panton
The Rag and Bone Men,Algis Budrys
Security Plan,Joseph Farrell
Trasfigurazione,Sibilla Aleramo
und Naturerkenntnis,Max Bernhard Weinstein
Bohemian Days in Fleet Street,William Mackay
Suomalaisen teatterin historia III,Eliel Aspelin-Haapkyla
Palvelijat ja isantavaki,Anonymous
Die Sternbuben in der Gro?stadt,Josephine Siebe
The Way of the Air,Edgar C. Middleton
Classical Philology,Friedrich Wilhelm Nietzsche
A Daughter of the Morning,Zona Gale
Progress of the Women's Suffrage Movement,Eleanor Mildred Sidgwick
Seta,Samuli Suomalainen
Shatter the Wall,Sydney Van Scyoc
"Poems, 1908-1919",John Drinkwater
The Stuff,Henry Slesar
Kreuzer-sonaatti,Leo Tolstoy
In Good Company,Coulson Kernahan
Subject to Change,Ron Goulart
Cry Snooker,Andrew Fetler
Poema del Otono y otros poemas,Ruben Dario
Some Haunted Houses of England & Wales,Elliott O'Donnell
Die Geschichte der Dampfmaschine bis James Watt,Max Geitel
The Admirable Crichton,J. M. Barrie
Major Barbara,George Bernard Shaw
The Doctor's Dilemma,George Bernard Shaw
A Woman of No Importance,Oscar Wilde
Vorna,Eino Railo
Puritanism and Liberty (1603-1660),Various
The Fledgling,Charles Bernard Nordhoff
in Galizien (1772-1848),Ludwig von Mises
The Colloquies of Edward Osborne,Anne Manning
01-Jul-18,Albert Bushnell Hart
Poems,D. M. Matheson
Birds useful and birds harmful,Otto Herman and J. A. Owen
War Stories for my Grandchildren,John Watson Foster
The Russian Campaign,Stanley Washburn
"The Long, Silvery Day",Magnus Ludens
The Big Engine,Fritz Leiber
Early Greek Philosophy & Other Essays,Friedrich Nietzsche
The Story of the Airship (Non-rigid),Hugh Allen
Handyman,Frank Banta
The Sweeper of Loray,Finn O'Donnevan
The State,Franz Oppenheimer
Vapaudesta,John Stuart Mill
The Just-Wed Cook Book,Various
Louise Imogen Guiney,Alice Brown
Fun for the Household,Emma J. Gray
Blackie Thorne at Camp Lenape,Carl Saxon
Brazilian Gold Mine Mystery,Andy Adams
The Tory Lover,Sarah Orne Jewett
Poems,Jennie Earngey Hill
Gedancken von Schertzen,Georg Friedrich Meier
Self Portrait,Bernard Wolfe
The Celestial Hammerlock,Donald Colvin
In the Land of Cave and Cliff Dwellers,Frederick Schwatka
With These Hands,C. M. Kornbluth
The Last Letter,Fritz Leiber
Kun nukkuja heraa,H. G. Wells
"La vita Italiana nel Risorgimento (1849-1861), parte III",Various
"La vita Italiana nel Risorgimento (1849-1861), parte II",Various
"La vita Italiana nel Risorgimento (1849-1861), parte I",Various
The Influence of Darwin on Philosophy,John Dewey
Sternsteinin kartano,Ludwig Anzengruber
With the Scottish Regiments at the Front,Evelyn Charles Vivian
Leather for Libraries,"E. Wyndham Hulme, J. Gordon Parker,"
The Prolongation of Life,Elie Metchnikoff
The Downfall of the Dervishes,Ernest N. Bennett
The Drug,C. C. MacApp
The Feeling,Roger Dee
Der letzte Hansbur,Hermann Lons
Madame de Ferneuse,Daniel Lesueur
"Volumes, Vol. 1",Various
Poems of Life,Katharine Forrest Hamill
Laukkuryssa,A. Rahkonen
Encyclopedist of the dark ages: Isidore of Seville,Ernest Brehaut
"Volunteers, in the Spanish-American War of 1898",James A. Frye
Doorstep,Keith Laumer
The Chasers,Daniel F. Galouye
Amerikassa,Aira
Maalaiskuvia II,Vaino Kataja
Moliere et Shakespeare,Paul Stapfer
Kepponen,Ernst Lundquist
Uran aukaisijat,Kauppis-Heikki
"Serial No. 100, February 1, 1916",Henry T. Finck
Maalaiskuvia I,Vaino Kataja
Blueblood,Jim Harmon
Bad Memory,Patrick Fahy
Tales From the Telling-House,R. D. Blackmore
Maximilian I,R. W. Seton-Watson
The Uncensored Letters of a Canteen Girl,Katharine Duncan Morse
Beach Scene,Marshall King
Kreativity For Kats,Fritz Leiber
"Armenia, Travels and Studies, Vol. 1 of 2",H. F. B. Lynch
"Church History, Vols. 1-3",J. H. Kurtz
"Church History, Vol. 2 of 3",J. H. Kurtz
"Church History, Vol. 1 of 3",J. H. Kurtz
The Year's at the Spring,Various
Othmar,Ouida
Molemmat kuurot,Jules Moinaux
Päiväkirja matkaltani Venäjällä,Arvid Järnefelt
"Film Truth; September, 1920",Anonymous
The Reluctant Heroes,Frank M. Robinson
Perfect Answer,L. J. Stecher
Flying Machines Today,William Duane Ennis
Pirttipohjalaiset,Maiju Lassila
Friaren från landet,Johan Ludvig Runeberg
Dumbwaiter,James Stamers
A Garden Diary,Emily Lawless
Der Golem,Gustav Meyrink
East In The Morning,David E. Fisher
Der Tabak,C. J. Koning
"The Donkey, the Elephant, and the Goat",Jack Preston
"The East India Vade-Mecum, Vol. 2 of 2",Thomas Williamson
Eversti Stålhammar,C. Georg Starbäck
"Narrative and Critical History of America, Vol. 5 of 8",Various
"Self-Control, Its Kingship and Majesty",William George Jordan
The Love of Monsieur,George Gibbs
Harbaugh's Harfe,Henry Harbaugh
Two Poems,Henry Rutgers Conger
"La vita Italiana nel Risorgimento (1846-1849), parte III",Various
"La vita Italiana nel Risorgimento (1846-1849), parte II",Various
"La vita Italiana nel Risorgimento (1846-1849), parte I",Various
A Pail of Air,Fritz Leiber
A Husband for My Wife,William W. Stuart
The Analysis of Beauty,William Hogarth
"Canto a la Argentina, Oda a Mitre y otros poemas",Rubén Darío
of Capt. John Dean and company,John Dean
Was John Bunyan a Gipsy?,James Simson
The Fate:,George Payne Rainsford James
John Bunyan and the Gipsies,James Simson
"Vol. 26, November, 1880",Various
Those Holy Fields: Palestine,Samuel Manning
Capture and Escape,John Azor Kellogg
La Sirena Negra,Emilia Pardo Bazán
Moral Equivalent,Kris Neville
The Border and the Buffalo,John R. Cook
Rautakylän vanha parooni,Zacharias Topelius
Kun talonpojasta tuli herra,Kalle Kajander
Sordman the Protector,Tom Purdom
"Claudian, Vol. 2 of 2",Claudius Claudianus
"Claudian, Vol. 1 of 2",Claudius Claudianus
A Beginner's Psychology,Edward Bradford Titchener
Third Reader,"W. A. McIntyre, John Dearness, and John C. Saul"
Valda Berättelser av Selma Lagerlöf,Selma Lagerlöf
Taxidermy without a Teacher,Walter Porter Manton
Hyde Park from Domesday-book to Date,John Ashton
Boy of My Heart,Marie Connor Leighton
Bullet With His Name,Fritz Leiber
"The Business, As Usual",Jack Sharkey
An Elephant for the Prinkip,L.J. Stecher
Hunt the Hunter,Kris Neville
Stories from The Arabian Nights,Laurence Housman
Väsynyt ja muita kertomuksia,Erkki Kivijärvi
Wahn und Ueberzeugung,Friedrich Höhne
The Bird Watcher in the Shetlands,Edmund Selous
That Which Hath Wings,Richard Dehan
Glorious Deeds of Australasians in the Great War,E. C. Buley
Henry D. Thoreau,F. B. Sanborn
The Autobiography of a Super-Tramp,William H. Davies
"Southern Literary Messenger, Vol. 1, No. 1, August, 1834",Various
"Oeuvres complètes de Guy de Maupassant, Vol. 7",Guy de Maupassant
In the path of the alphabet,Frances Jermain
Man in a Quandary,L. J. Stecher
License to Steal,Louis Newman
Valekuollut,Mór Jókai
"""1812"" Napoleon I in Russia",Vasilïĭ Vasilʹevich Vereshchagin
Tytöt talosilla,Maiju Lassila
De Hazen en de Kabouters,Henr. de Holl and Greet Feuerstein
Poems,Jamie Harris Coleman
...So They Baked a Cake,Winston Marks
The Ignoble Savages,Evelyn E. Smith
Hamewith,Charles Murray
The Campaign in Russian Poland,Percy Cross Standing
Dr. Elsie Inglis,Lady Frances Balfour
Public School Life,Alec Waugh
Angel's Egg,Edgar Pangborn
Sea Legs,Frank Quattrocchi
Kuningasten jälkeläinen,Franz Treller
La bêtise humaine,Jules Noriac
Plain Living,Rolf Boldrewood
"Cicero: Letters to Atticus, Vol. 3 of 3",Marcus Tullius Cicero
"La vita Italiana nel Risorgimento (1831-1846), parte III",Various
Suomalaisen taiteen historia pääpiirteissään,Eliel Aspelin-Haapkylä
"La vita Italiana nel Risorgimento (1831-1846), parte II",Various
"La vita Italiana nel Risorgimento (1831-1846), parte I",Various
Growing Up On Big Muddy,Charles V. de Vet
People Soup,Alan Arkin
Not a Creature Was Stirring,Dean Evans
Survival Type,J. F. Bone
Yö ja aamu,Alexander Balazs
American fungi,Charles McIlvaine and Robert K. Macadam
Hafiz in London,Hafiz
Famous Imposters,Bram Stoker
"of the Smithsonian Institution, 1884-'85","J. W. Powell, Director"
Vol. 1 of 2,Friedrich Max Muller
Redemption,Edward Hoare
The History of the Prince of Wales' Civil Service Rifles,Anonymous
Auf silbernen Gefilden,Jerzy Zulawski
"Mask and Faces, or, Before and Behind the Curtain",Tom Taylor
Lykke-Per,Henrik Pontoppidan
Cawnpore,G. O. Trevelyan
"National Geographic Magazine, Vol. 2, No. 2, May, 1890",Various
"La Comédie Humaine, Vol. 6",Honoré de Balzac
Time In the Round,Fritz Leiber
The Music Master of Babylon,Edgar Pangborn
Granulitgebietes an den unteren Mulden,Theodore Gampe
of Dragoon Guards,Richard Cannon
Ihmisestä ja elämästä,Volter Kilpi
The Golden Gems of Life,S. C. Ferguson and E. A. Allen
La victime,Fernand Vandérem
Le baiser au lépreux,François Mauriac
Slaveholding,Charles Fitch
"A Queen of Tears, Vol. 2 of 2",William Henry Wilkins
"A Queen of Tears, Vol. 1 of 2",William Henry Wilkins
Poems: Pastoral and Psalm,Benjamin Copeland
Wakefieldin kappalainen,Oliver Goldsmith
Ignaz Jan Paderewski,Edward Algernon Baughan
Vol. 2 of 6,Charles Athanase Walckenaer
Double Standard,Alfred Coppel
Lex,W. T. Haggert
Birds of a Feather,Robert Silverberg
Französische Lyrik alter und neuer Zeit in deutschen Versen,Various
"Gutenberg, and the Art of Printing",Emily Clemens Pearson
The Birth of Tragedy,Friedrich Nietzsche
The Iliads of Homer,Homer
Patty's Fortune,Carolyn Wells
Dr. Kometevsky's Day,Fritz Leiber
Agnes Sorel,George Payne Rainsford James
The Spicy Sound of Success,Jim Harmon
No Substitutions,Jim Harmon
"Oodit, Karmen-Seekulaare ja Epoodit",Quintus Horatius Flaccus
Poem Outlines,Sidney Lanier
Verteluurtje,Alberdina Hermanna Schlüter and J. Wiegman
Voyage to Far N'jurd,Kris Neville
Motor Matt's Reverse,Stanley R. Matthews
Citizen Jell,Michael Shaara
Nine Thousand Miles On A Pullman Train,Milton Shaw
"Serial No. 157, June 15, 1918",Sydney P. Noe
Huutolaistyttö,Heikki Meriläinen
The Man Outside,Evelyn E. Smith
What is Posat?,Phyllis Sterling Smith
Fresh Air Fiend,Kris Neville
The Story of Elizabeth Canning Considered,John Hill
Herr Wenzel auf Rehberg und sein Knecht Kaspar Dinckel,Felix Salten
To The Fore With the Tanks!,Percy F. Westerman
"Swenson, Dispatcher",R. DeWitt Miller
I Am A Nucleus,Stephen Barr
The Hand Phrenologically Considered,Anonymous
Virran varrelta,Erkki Kivijärvi
"The Principles of Chemistry, Vol, 1 of 2",Dmitry Ivanovich Mendeleyev 51326
"La vita Italiana nel Risorgimento (1815-1831), Parte 3",Various
"La vita Italiana nel Risorgimento (1815-1831), Parte 2",Various
"La vita Italiana nel Risorgimento (1815-1831), Parte 1",Various
15-Mar-18,Osgood Hardy
Prime Difference,Alan E. Nourse
Break a Leg,Jim Harmon
Woodcraft Boys at Sunset Island,Lillian Elizabeth Roy
Prisoner of the Mill,Harry Hazelton
The Fight Against Lynching,Anonymous
Maailman kannel,Various
How?,Kennedy Holbrook
In Bad Company and other stories,Rolf Boldrewood
La chanson des vieux époux,Pierre Loti
Jeanne de Constantinople,Edward Le Glay
Make Me An Offer,Con Blomberg
My Lady Greensleeves,Frederik Pohl
Aisopolaisia Satuja,Phaedrus
My Strange Rescue,J. Macdonald Oxley
This House To Let,William Le Queux
A Dog Day,Walter Emanuel
Confidence Game,Jim Harmon
A Touch of E Flat,Joe Gibson
Seefahrt ist not!,Gorch Fock
English Coins and Tokens,Llewellynn Jewitt and Barclay V. Head
Mehiläinen 1839,Elias Lönnrot
"Spanish America, Vol. 2 of 2",Sir Richard Henry Bonnycastle
Ibrahim Pasha,Hester Donaldson Jenkins
The Pilot and the Bushman,Sylvia Jacobs
The Sense of Wonder,Milton Lesser
The Man Who Was Six,F. L. Wallace
"The Mysteries of London, Vol. 2 of 4",George W. M. Reynolds
